id_pay,id_order,dim_status,dim_type,m_amount,date_created
3874041,2811342,ACCEPTED,BANK_CHECK,142.0,2016-09-17 20:11:33
13933385,9813669,ACCEPTED,CARTE TICKET RESTAURANT,16.1,2017-06-21 11:48:10
133626818,104983807,ACCEPTED,UBER EATS,43.3,2019-11-24 21:27:49
89709263,68911930,ACCEPTED,CB_SANS_CONTACT,24.6,2019-04-19 12:03:29
78127946,59492985,ACCEPTED,CB_SANS_CONTACT,17.2,2019-02-13 13:02:43
8662679,5847643,ACCEPTED,AMERICAN_EXPRESS,95.0,2017-02-18 23:14:55
146559473,115565842,ACCEPTED,VOUCHER,-0.1,2020-01-30 12:05:53
23231655,15915025,ACCEPTED,CB_SANS_CONTACT,23.3,2017-11-08 13:27:16
50499763,37348677,ACCEPTED,AMERICAN_EXPRESS,70.0,2018-08-02 21:19:08
179113824,142827611,ACCEPTED,CB_SANS_CONTACT,28.57,2020-09-17 21:47:15
134329835,105519339,ACCEPTED,CB_SANS_CONTACT,18.2,2019-11-28 13:02:35
177366748,141387556,ACCEPTED,CB_SANS_CONTACT,25.7,2020-09-09 12:52:09
177767774,141745048,ACCEPTED,VOUCHER,-0.1,2020-09-11 11:07:30
147487194,116320888,ACCEPTED,VOUCHER,-4.85,2020-02-03 12:25:14
170879546,135947880,ACCEPTED,UBER EATS,37.0,2020-08-02 18:07:31
103957369,80614819,ACCEPTED,CB_SANS_CONTACT,33.0,2019-07-03 19:21:19
146157597,115214703,ACCEPTED,CB_SANS_CONTACT,18.9,2020-01-28 12:47:18
155609987,122972084,ACCEPTED,VOUCHER,-4.7,2020-03-11 12:01:15
134207551,105430701,ACCEPTED,AMERICAN_EXPRESS,203.0,2019-11-27 22:22:04
161679783,128262675,ACCEPTED,AMERICAN_EXPRESS,38.0,2020-06-15 21:11:10
80533137,61454933,ACCEPTED,CB_SANS_CONTACT,13.9,2019-02-27 12:49:17
138463014,108939031,ACCEPTED,VOUCHER,-0.1,2019-12-18 12:06:14
160640115,127384973,ACCEPTED,VOUCHER,-0.5,2020-06-09 10:20:16
155218366,122650849,ACCEPTED,VOUCHER,-0.5,2020-03-09 11:38:33
5963756,4006229,ACCEPTED,AMERICAN_EXPRESS,275.0,2016-11-24 22:58:39
185508730,148182621,ACCEPTED,BANK_CHECK,72.0,2020-10-23 18:44:33
79583516,60689028,ACCEPTED,CB_SANS_CONTACT,18.5,2019-02-21 18:48:00
146936998,115863961,ACCEPTED,CB_SANS_CONTACT,20.5,2020-01-31 19:52:22
181601887,144938590,ACCEPTED,VOUCHER,-0.76,2020-10-01 11:37:55
68660641,51825543,ACCEPTED,CB_SANS_CONTACT,17.0,2018-12-08 18:32:55
41896182,30480381,ACCEPTED,CB_SANS_CONTACT,16.5,2018-06-01 11:45:56
55209437,40960880,ACCEPTED,BANK_CHECK,165.0,2018-09-08 13:34:31
1686022,1179620,ACCEPTED,AMERICAN_EXPRESS,204.78,2016-05-04 11:51:59
186464842,149007231,ACCEPTED,VOUCHER,-5.1,2020-10-30 11:05:40
144483919,113872008,ACCEPTED,VOUCHER,-1.3,2020-01-20 11:46:54
168621070,134054874,ACCEPTED,VOUCHER,-4.2,2020-07-22 10:23:01
138695024,109127403,ACCEPTED,VOUCHER,-0.1,2019-12-19 12:11:49
128623939,100887373,ACCEPTED,CB_SANS_CONTACT,14.5,2019-10-31 13:12:43
99802868,77170923,ACCEPTED,SUMUP,340.5,2019-06-13 21:46:56
133464355,104840040,ACCEPTED,CB_SANS_CONTACT,21.5,2019-11-23 21:51:25
79348895,60480332,ACCEPTED,AMERICAN_EXPRESS,63.8,2019-02-20 13:01:53
153238613,121017913,ACCEPTED,CB_SANS_CONTACT,27.0,2020-02-29 02:04:24
148549063,117180120,ACCEPTED,UBER EATS,55.3,2020-02-07 22:54:11
39606070,28649915,ACCEPTED,AMERICAN_EXPRESS,37.71,2018-05-12 18:01:58
184321443,147199553,ACCEPTED,VOUCHER,-1.5,2020-10-16 12:19:39
5168131,3479206,ACCEPTED,AMERICAN_EXPRESS,26.5,2016-10-26 11:23:09
88482717,67904681,ACCEPTED,CB_SANS_CONTACT,17.0,2019-04-12 20:54:05
102511004,79434859,ACCEPTED,CB_SANS_CONTACT,21.5,2019-06-26 20:03:40
118507665,92621383,ACCEPTED,AMERICAN_EXPRESS,42.64,2019-09-14 19:01:39
61264524,45764671,ACCEPTED,CB_SANS_CONTACT,16.4,2018-10-18 17:21:56
181513979,144855507,ACCEPTED,CB_SANS_CONTACT,21.5,2020-09-30 20:48:29
131496052,103249232,ACCEPTED,CB_SANS_CONTACT,29.0,2019-11-14 19:51:57
